label	status	run_ids	returncode	started_at	finished_at	command
eastmoney__equity_history 2021	success	dfe71d93-53fa-4485-8b35-9f6781f5ace7	0	2026-06-02T18:12:50.071260+00:00	2026-06-02T18:13:01.213669+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2021
eastmoney__equity_history 2022	success	cebc0072-0c01-492d-9a70-4a005f5f6ec7	0	2026-06-02T18:13:01.214012+00:00	2026-06-02T18:13:12.343067+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2022
eastmoney__equity_history 2023	success	ae0766da-baef-48df-a06a-d7886bad90e3	0	2026-06-02T18:13:12.343686+00:00	2026-06-02T18:13:23.406542+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2023
eastmoney__equity_history 2024	success	7597af95-ac45-4105-987f-610f410c2723	0	2026-06-02T18:13:23.407129+00:00	2026-06-02T18:13:34.464821+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2024
eastmoney__equity_history 2025	success	842a7c2f-a171-436c-9cf1-2a92a017e074	0	2026-06-02T18:13:34.465278+00:00	2026-06-02T18:13:45.419523+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2025
eastmoney__equity_history 2026	success	5f4e08b9-b9d5-42dd-817b-de0c688f362b	0	2026-06-02T18:13:45.420147+00:00	2026-06-02T18:13:56.532402+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2026
eastmoney__income_sq 1990	success	8b2a9c11-1f74-4fc6-8e4d-2c00ad477b14	0	2026-06-02T18:13:56.532987+00:00	2026-06-02T18:14:07.633450+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 1990
eastmoney__income_sq 1991	success	1df062d2-258a-421c-b076-e526041ae65f	0	2026-06-02T18:14:07.634058+00:00	2026-06-02T18:14:18.693263+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 1991
eastmoney__income_sq 1992	success	077195c4-3ded-434f-8d2e-b7edb7c5129d	0	2026-06-02T18:14:18.693888+00:00	2026-06-02T18:14:29.626591+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 1992
eastmoney__income_sq 1993	success	93c3cd4d-3d98-4488-bb48-88bf84882469	0	2026-06-02T18:14:29.627200+00:00	2026-06-02T18:14:40.869498+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 1993
eastmoney__income_sq 1994	success	09c2fda2-a0da-4245-8715-20ecc5a3e907	0	2026-06-02T18:14:40.870095+00:00	2026-06-02T18:14:52.246788+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 1994
eastmoney__income_sq 1995	success	3d38a195-362f-43d3-9283-564535ce7b4a	0	2026-06-02T18:14:52.247470+00:00	2026-06-02T18:15:03.692116+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 1995
eastmoney__income_sq 1996	success	2f8a3e46-cedb-43bc-9259-b3c2de9e75dc	0	2026-06-02T18:15:03.692752+00:00	2026-06-02T18:15:14.708649+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 1996
eastmoney__income_sq 1997	success	ed048496-318a-46b8-b1cc-67e5ea132abc	0	2026-06-02T18:15:14.709255+00:00	2026-06-02T18:15:25.732013+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 1997
eastmoney__income_sq 1998	success	f6e4b697-ebd5-49b7-8f11-c834c964f4b4	0	2026-06-02T18:15:25.732638+00:00	2026-06-02T18:15:36.789495+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 1998
eastmoney__income_sq 1999	success	ed98a1e4-5b5f-4c66-8561-546c0d584414	0	2026-06-02T18:15:36.789780+00:00	2026-06-02T18:15:47.669389+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 1999
eastmoney__income_sq 2000	success	00fb7052-5c03-4c53-a2e4-b648b7b1261d	0	2026-06-02T18:15:47.669995+00:00	2026-06-02T18:15:58.860580+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2000
eastmoney__income_sq 2001	success	d07a6c90-e033-453f-bae1-29f734045c43	0	2026-06-02T18:15:58.861218+00:00	2026-06-02T18:16:10.485606+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2001
eastmoney__income_sq 2002	success	ea0b8a3b-c6b0-4f8c-88f5-f21f5e7cfe4a	0	2026-06-02T18:16:10.486213+00:00	2026-06-02T18:16:21.473284+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2002
eastmoney__income_sq 2003	success	f59fa160-cf27-46bc-b187-979facf48a55	0	2026-06-02T18:16:21.473927+00:00	2026-06-02T18:16:32.601129+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2003
