timestamp_utc	dataset	partition	run_id	status
2026-06-02T20:51:41Z	eastmoney__cashflow_sq	2022	0ccec2ce-5a8d-453c-b731-3f57245fd4dd	success
2026-06-02T20:51:52Z	eastmoney__cashflow_sq	2023	ae23dce1-c6b5-467e-9335-98bcb93fb74b	success
2026-06-02T20:52:04Z	eastmoney__cashflow_sq	2024	6b701397-49c9-4994-8784-72680397a5d8	success
2026-06-02T20:52:16Z	eastmoney__cashflow_sq	2025	584c24ec-8a2d-4c6b-82dd-5c6be2f1eef2	success
2026-06-02T20:52:28Z	eastmoney__cashflow_sq	2026	568d1ac1-324b-4630-8052-72ef205e223e	success
2026-06-02T20:52:40Z	eastmoney__cashflow_ytd	1990	39c2ddba-97fc-4b35-b80c-226ec2d07482	success
2026-06-02T20:52:51Z	eastmoney__cashflow_ytd	1991	28067d1f-b8fd-4f24-bb38-b1d1cb861c32	success
2026-06-02T20:53:02Z	eastmoney__cashflow_ytd	1992	633aff35-5ca4-4c7f-bda5-970eef951e20	success
2026-06-02T20:53:12Z	eastmoney__cashflow_ytd	1993	7dc6222c-5315-47a2-9412-f5d2b72faca5	success
2026-06-02T20:53:23Z	eastmoney__cashflow_ytd	1994	8ed000fb-371a-4ccc-81ef-98d2e369e71a	success
2026-06-02T20:53:34Z	eastmoney__cashflow_ytd	1995	3b92d5c0-b221-4f71-9ad7-3ac3f4c4922f	success
2026-06-02T20:53:45Z	eastmoney__cashflow_ytd	1996	be8e29ba-ba46-4004-a10e-de3a7853c32c	success
2026-06-02T20:53:56Z	eastmoney__cashflow_ytd	1997	b8b7c478-99e1-41ad-bb06-4af5fdc9ff2f	success
2026-06-02T20:54:07Z	eastmoney__cashflow_ytd	1998	98b4fdd6-aab5-462e-8b8b-045fdd684217	success
2026-06-02T20:54:18Z	eastmoney__cashflow_ytd	1999	4be23f4f-e278-4a3f-8bfc-bb07e00143b3	success
2026-06-02T20:54:29Z	eastmoney__cashflow_ytd	2000	ebc60e09-4072-4dfe-9ee9-3efb3da40c6a	success
2026-06-02T20:54:40Z	eastmoney__cashflow_ytd	2001	a404c54f-16fa-443f-9e6b-e9736bb6bf9e	success
